MarketingStatusID,ApplNo,ProductNo
3,4,4
3,159,1
3,552,1
3,552,2
3,552,3
3,552,4
3,552,5
3,552,7
3,552,8
3,552,9
3,552,10
3,552,11
3,552,12
3,552,13
3,734,1
3,734,2
3,734,3
3,793,2
3,793,3
3,793,4
3,793,5
3,1104,1
1,1504,1
3,1546,1
3,2139,3
3,2282,1
3,2386,2
3,2386,3
3,2918,1
3,3158,1
3,3158,2
3,3240,1
3,3240,3
3,3240,4
3,3240,5
3,3402,1
1,3444,1
3,3718,4
3,3718,6
3,3718,8
3,3718,10
3,3977,1
3,3977,2
3,3977,3
3,4039,2
3,4039,3
3,4039,4
3,4039,5
3,4039,6
3,4040,1
3,4040,2
3,4041,2
3,4041,3
3,4041,4
3,4041,5
3,4054,1
3,4054,2
3,4056,1
3,4056,2
3,4056,3
3,4056,4
3,4056,5
3,4056,6
3,4056,7
3,4056,8
3,4056,9
3,4056,10
3,4056,11
3,4056,12
3,4056,13
3,4056,14
3,4056,17
3,4122,2
3,4125,5
3,4570,1
3,4570,2
3,4570,3
3,4589,4
1,4782,1
3,4782,2
1,4782,3
1,4782,4
1,4782,5
1,4782,6
3,5010,1
3,5010,2
3,5010,3
3,5010,4
3,5010,5
3,5010,7
3,5010,9
3,5151,1
1,5213,1
1,5213,2
3,5264,4
3,5264,6
3,5264,7
3,5264,8
3,5264,9
3,5264,10
3,5264,13
3,5264,14
3,5292,1
3,5292,2
3,5292,3
3,5319,1
1,5378,2
3,5378,3
3,5378,4
3,5378,5
3,5490,2
3,5490,3
3,5509,1
3,5509,3
3,5521,1
3,5521,2
3,5521,4
3,5545,3
3,5545,4
3,5545,5
3,5619,1
3,5620,1
3,5657,1
3,5691,2
3,5725,1
3,5794,1
3,5794,2
3,5795,1
3,5845,1
3,5845,4
3,5845,7
3,5856,2
3,5856,5
3,5856,9
3,5897,4
3,5897,8
3,5914,2
3,5914,4
3,5929,1
3,5932,12
1,5939,1
3,5963,1
3,5963,2
3,5963,3
3,5970,4
3,5970,5
3,6002,1
3,6002,2
3,6008,1
3,6012,3
3,6035,3
3,6035,4
3,6044,3
3,6071,3
3,6095,1
3,6110,5
3,6134,2
3,6134,4
3,6134,10
3,6135,3
3,6146,1
3,6146,2
3,6170,3
1,6188,1
3,6203,1
3,6213,1
3,6270,3
3,6309,1
3,6309,3
3,6317,7
3,6317,11
3,6317,12
3,6325,1
3,6327,2
3,6327,3
3,6328,1
3,6328,2
3,6333,8
3,6383,2
3,6383,3
3,6383,4
3,6403,5
3,6412,14
3,6412,15
3,6441,1
3,6459,1
3,6460,2
3,6470,1
1,6488,2
3,6488,3
1,6488,4
1,6488,5
1,6488,7
1,6488,8
1,6488,10
1,6488,12
1,6488,17
1,6488,18
1,6488,19
3,6514,4
3,6525,1
3,6530,3
3,6530,4
3,6536,1
3,6536,2
3,6536,3
3,6536,4
3,6536,5
3,6580,1
3,6620,1
3,6632,3
3,6668,10
3,6695,1
3,6772,1
3,6772,2
3,6773,3
3,6773,5
3,6773,9
3,6773,10
3,6798,1
3,6799,2
3,6799,4
3,6799,10
3,6800,1
3,6800,2
3,6800,3
3,6811,1
3,6811,2
3,6811,6
3,6811,11
1,6823,1
3,6882,1
3,6904,1
3,6904,2
3,6905,2
3,6905,3
3,6917,1
3,6920,2
3,6920,3
3,6921,2
3,6921,6
3,6927,1
3,6931,2
3,7012,2
1,7073,1
1,7073,2
3,7085,2
3,7110,2
3,7110,3
3,7245,1
3,7320,2
3,7335,1
3,7335,2
3,7335,3
3,7335,4
3,7335,5
3,7336,2
3,7336,3
3,7337,5
3,7337,6
1,7337,7
3,7390,1
3,7392,2
3,7409,1
3,7409,3
3,7413,1
3,7413,2
3,7504,2
3,7504,3
1,7513,1
3,7517,2
3,7517,4
3,7529,2
3,7600,3
3,7600,5
3,7600,9
3,7638,1
3,7638,2
3,7707,1
3,7750,3
3,7757,2
3,7794,1
3,7794,2
3,7794,3
3,7842,1
3,7842,2
3,7865,2
3,7883,2
3,7883,3
3,7898,4
3,7935,2
3,7935,3
3,7935,4
3,7936,1
3,7942,1
3,7942,3
3,7953,1
3,7959,1
3,7959,2
3,7961,2
3,7984,1
3,8032,1
3,8041,1
3,8048,1
3,8085,2
3,8102,4
3,8107,1
3,8107,2
3,8107,3
3,8107,4
3,8107,5
3,8114,4
3,8126,1
3,8126,2
3,8126,3
3,8126,4
3,8173,3
3,8228,1
3,8228,4
3,8248,1
3,8248,2
3,8278,3
3,8284,1
3,8284,2
3,8303,1
3,8303,2
3,8303,3
3,8303,4
3,8303,5
3,8306,4
3,8306,5
1,8316,1
3,8317,2
3,8317,4
3,8319,8
3,8319,9
3,8322,1
3,8370,1
3,8370,2
1,8372,3
1,8372,4
3,8372,6
1,8372,8
3,8378,3
3,8381,3
3,8381,4
3,8392,3
3,8402,1
3,8414,2
3,8420,1
3,8420,2
3,8420,3
3,8428,1
3,8428,2
3,8428,3
3,8453,1
1,8453,2
3,8453,3
3,8453,4
3,8472,1
3,8492,2
3,8499,2
3,8499,3
3,8506,7
3,8506,11
3,8565,1
3,8565,4
1,8578,1
3,8592,3
3,8592,7
3,8604,3
3,8662,1
3,8678,2
3,8678,3
3,8693,1
3,8693,2
1,8697,1
1,8697,2
1,8697,3
1,8708,1
3,8719,1
3,8720,1
3,8732,2
3,8732,3
1,8762,1
3,8762,2
3,8767,2
3,8794,1
3,8809,4
3,8809,5
3,8809,6
3,8814,1
3,8816,1
3,8822,1
3,8826,1
3,8842,1
3,8842,2
3,8843,1
3,8845,1
3,8845,2
3,8845,4
1,8845,6
3,8847,1
3,8847,3
3,8848,1
3,8848,2
3,8855,4
3,8857,2
3,8857,3
3,8867,1
3,8869,1
3,8883,1
3,8915,1
3,8917,1
3,8917,2
3,8922,1
3,8922,2
3,8943,1
3,8943,2
3,8951,1
3,8951,2
3,8955,1
3,8975,1
1,8975,2
3,8983,1
3,9000,2
3,9008,1
3,9018,3
3,9048,1
3,9048,2
3,9052,1
1,9053,2
3,9078,3
3,9078,6
3,9078,8
3,9087,1
3,9087,2
3,9088,1
3,9102,1
3,9102,3
3,9108,2
3,9108,4
1,9112,3
3,9115,1
3,9115,3
3,9115,4
3,9115,5
3,9127,3
3,9127,5
3,9149,2
3,9149,7
3,9149,11
3,9149,13
3,9149,18
3,9149,20
3,9149,22
3,9149,24
3,9149,32
3,9149,33
3,9149,43
3,9164,1
3,9165,1
3,9165,3
3,9166,1
1,9170,2
1,9170,3
1,9175,1
1,9175,2
3,9176,1
3,9176,2
3,9182,2
3,9182,4
3,9182,9
1,9190,1
3,9193,2
3,9193,3
3,9193,4
3,9215,1
3,9217,1
3,9218,5
3,9218,7
3,9218,12
3,9218,13
3,9218,16
3,9218,18
3,9218,20
3,9218,22
3,9218,23
3,9218,24
3,9218,25
3,9218,26
3,9238,1
3,9238,2
3,9255,6
3,9255,8
3,9268,3
3,9268,7
3,9268,11
3,9268,12
3,9273,1
3,9273,2
3,9276,3
3,9276,4
3,9276,5
3,9278,1
3,9278,2
3,9282,2
3,9296,2
3,9296,4
3,9309,1
3,9309,2
3,9319,6
3,9321,1
3,9321,3
3,9321,7
1,9330,2
1,9330,4
3,9344,1
3,9357,1
3,9357,4
3,9357,6
3,9357,8
3,9372,1
3,9376,1
3,9376,4
3,9378,2
1,9386,1
3,9388,1
3,9391,1
3,9391,2
3,9391,4
3,9395,3
3,9395,4
1,9402,2
3,9402,3
1,9402,4
3,9410,5
3,9434,2
3,9435,1
1,9435,2
3,9435,3
3,9435,4
1,9435,6
1,9435,7
3,9436,1
3,9452,1
3,9453,1
3,9453,2
3,9458,1
3,9470,1
3,9477,1
3,9477,2
3,9486,1
3,9489,5
3,9495,1
3,9509,2
3,9519,2
3,9519,5
3,9519,8
3,9561,1
3,9561,2
3,9561,3
3,9585,1
3,9585,3
3,9627,1
3,9627,2
3,9631,2
3,9631,4
3,9637,1
3,9637,2
3,9645,2
3,9659,1
3,9659,2
3,9660,2
3,9660,4
3,9660,7
3,9660,8
3,9663,1
3,9663,3
3,9667,1
3,9667,2
3,9668,1
3,9668,2
3,9698,2
