ApplNo,ProductNo,MarketingStatusID,TECode
3444,1,1,AA
5213,1,1,AA
5213,2,1,AA
5378,2,1,AA
5929,1,1,AP
6035,4,1,AP
6188,1,1,AB
6488,2,1,AP
6488,4,1,AP
6488,5,1,AP
6488,7,1,AP
6488,8,1,AP
6488,10,1,AP
6488,12,1,AP
6488,17,1,AP
6488,19,1,AP
7073,1,1,AB
7073,2,1,AB
7337,7,1,AA
7513,1,1,AP
8316,1,1,AB
8370,1,1,AP
8370,2,1,AP
8453,2,1,AP
8578,1,1,AB
8697,1,1,AB
8697,2,1,AB
8697,3,1,AB
8708,1,1,AB
8762,1,1,AB
8845,6,1,AP
9053,2,1,AB
9112,3,1,AT
9170,2,1,AB
9170,3,1,AB
9175,1,1,AB
9330,2,1,AP
9402,2,1,AO
9402,3,1,AO
9402,4,1,AO
9435,2,1,AP
9435,6,1,AP
9435,7,1,AP
9768,1,1,AB
9829,2,1,AB
9830,1,1,AP
9866,1,1,AP
10104,3,1,AB
10187,3,1,AB
10187,6,1,AB
10187,10,1,AB
10379,1,1,AB
10379,2,1,AB
10379,3,1,AB
10515,1,1,AP
10596,8,1,AB
10721,1,1,AA
10721,4,1,AA
10721,5,1,AA
10721,6,1,AA
11145,5,1,AP
11153,1,1,AB
11153,2,1,AB
11153,3,1,AB
11153,4,1,AB
11153,6,1,AB
11210,1,1,AA
11245,3,1,AA
11265,2,1,AA
11366,2,1,AB
11459,2,1,AB
11459,4,1,AB
11525,1,1,AP
11559,1,1,AP
11665,1,1,AB
11719,10,1,AP
11719,12,1,AP
11757,1,1,AB
11757,2,1,AB
11757,4,1,AB
11790,1,1,AP
11792,1,1,AA
11792,4,1,AB
11839,1,1,AB
11839,3,1,AB
11839,4,1,AB
11856,3,1,AP
11856,4,1,AP
11856,5,1,AP
11856,6,1,AP
11856,7,1,AP
11909,2,1,AB
12041,1,1,AB
12093,1,1,AB
12093,7,1,AB
12104,1,1,AT
12151,8,1,AB
12151,9,1,AB
12151,10,1,AB
12179,1,1,AT
12250,1,1,AP
12250,2,1,AP
12250,5,1,AP
12342,3,1,AB
12380,1,1,AB
12462,1,1,AA
12616,4,1,AB
12623,1,1,AB
12623,3,1,AB
12750,1,1,AB
12770,1,1,AT
12787,2,1,AT
12787,4,1,AT
12787,5,1,AT
12806,1,1,AT
12827,1,1,AA
